,yearID,teamID,G,W,WSWin,R,H,SB,ER,E
450,1905,CHA,158,92,N,612,1213,194.0,316,217
467,1906,CHN,155,116,N,705,1316,283.0,270,190
469,1906,CLE,157,89,N,663,1516,203.0,328,217
475,1906,PIT,154,93,N,623,1313,162.0,333,220
483,1907,CHN,155,107,Y,574,1224,235.0,264,211
499,1908,CHN,158,99,Y,624,1267,212.0,341,206
523,1909,PIT,154,110,Y,699,1332,185.0,322,222
571,1912,PIT,152,93,N,751,1493,177.0,439,169
585,1913,PHA,153,96,Y,794,1412,221.0,479,212
586,1913,PHI,159,88,N,693,1433,156.0,509,213
589,1913,SLN,153,51,N,528,1229,171.0,635,219
606,1914,NYA,157,70,N,537,1144,251.0,436,223
607,1914,PHA,158,99,N,749,1392,231.0,434,213
609,1914,PIT,158,69,N,503,1197,147.0,422,223
619,1915,BSN,157,83,N,582,1219,121.0,401,213
621,1915,CHA,155,93,N,717,1269,233.0,378,222
624,1915,CIN,160,71,N,516,1323,156.0,452,224
630,1915,NYA,154,69,N,584,1162,198.0,470,215
632,1915,PHI,153,90,N,589,1216,121.0,331,216
633,1915,PIT,156,73,N,557,1259,182.0,399,214
639,1916,BOS,156,91,Y,550,1246,129.0,389,183
640,1916,BRO,156,94,N,585,1366,187.0,336,224
641,1916,BSN,158,89,N,542,1181,141.0,344,212
642,1916,CHA,155,89,N,601,1277,197.0,370,205
646,1916,DET,155,87,N,670,1371,190.0,465,211
647,1916,NY1,155,86,N,597,1305,206.0,404,217
648,1916,NYA,156,80,N,577,1277,179.0,440,219
655,1917,BOS,157,90,N,555,1243,105.0,347,183
657,1917,BSN,157,72,N,536,1280,155.0,438,224
658,1917,CHA,156,100,Y,656,1281,219.0,342,200
663,1917,NY1,158,98,N,635,1360,162.0,360,208
666,1917,PHI,154,87,N,578,1262,109.0,380,212
669,1917,SLN,154,82,N,531,1271,159.0,469,221
703,1920,BOS,154,72,N,650,1397,98.0,592,183
706,1920,CHA,154,96,N,794,1574,112.0,553,194
708,1920,CIN,154,82,N,639,1432,158.0,448,200
709,1920,CLE,154,98,Y,857,1574,73.0,522,185
711,1920,NY1,155,86,N,682,1427,131.0,438,209
712,1920,NYA,154,95,N,838,1448,64.0,505,193
715,1920,PIT,155,79,N,530,1342,181.0,454,186
719,1921,BOS,154,75,N,668,1440,83.0,603,157
721,1921,BSN,153,79,N,721,1561,94.0,600,199
722,1921,CHA,154,62,N,683,1509,97.0,749,199
723,1921,CHN,153,64,N,668,1553,70.0,665,166
724,1921,CIN,153,70,N,618,1421,117.0,524,193
725,1921,CLE,154,94,N,925,1656,50.0,597,204
727,1921,NY1,153,94,Y,840,1575,137.0,541,187
728,1921,NYA,153,98,N,948,1576,89.0,579,220
731,1921,PIT,154,90,N,692,1533,134.0,498,171
732,1921,SLA,154,81,N,835,1655,92.0,706,224
733,1921,SLN,154,87,N,809,1635,94.0,551,219
735,1922,BOS,154,61,N,598,1392,60.0,656,221
736,1922,BRO,155,76,N,743,1569,79.0,623,208
737,1922,BSN,154,53,N,596,1355,67.0,655,215
738,1922,CHA,155,77,N,691,1463,106.0,614,153
739,1922,CHN,156,80,N,771,1564,97.0,674,202
740,1922,CIN,156,86,N,766,1561,130.0,543,205
741,1922,CLE,155,78,N,768,1544,89.0,705,201
742,1922,DET,155,79,N,828,1641,78.0,660,192
743,1922,NY1,156,93,Y,852,1661,116.0,535,194
744,1922,NYA,154,94,N,758,1504,62.0,525,155
745,1922,PHA,155,65,N,705,1409,60.0,695,218
746,1922,PHI,154,57,N,738,1537,48.0,707,222
747,1922,PIT,155,85,N,865,1698,145.0,613,187
748,1922,SLA,154,93,N,867,1693,132.0,523,196
750,1922,WS1,154,69,N,650,1395,94.0,577,201
754,1923,CHA,156,69,N,692,1463,191.0,629,181
755,1923,CHN,154,83,N,756,1516,181.0,580,208
756,1923,CIN,154,91,N,708,1506,96.0,496,202
758,1923,DET,155,83,N,831,1579,87.0,624,200
759,1923,NY1,153,95,N,854,1610,106.0,597,176
760,1923,NYA,152,98,Y,823,1554,69.0,555,144
